x_data_plot1,y_data_plot1,x_data_plot2,y_data_plot2
0,0.8376119,461,1.0480124
1,0.81117564,922,1.0548689
2,0.8822487,1383,1.0496984
3,0.92506415,1844,1.0541476
4,0.92921495,2305,1.0471677
5,0.9477351,2766,1.0610124
6,0.9742213,3227,1.0579808
7,0.9607534,,
8,0.97132045,,
9,0.9852035,,
10,0.98429835,,
11,0.9863066,,
12,0.9883231,,
13,0.9775262,,
14,0.97467864,,
15,0.97652715,,
16,0.9681976,,
17,0.97508454,,
18,0.9723933,,
19,0.9760811,,
20,0.9827683,,
21,0.97987825,,
22,0.9871298,,
23,0.9884956,,
24,0.9756947,,
25,0.97286314,,
26,0.97233886,,
27,0.9677958,,
28,0.9649936,,
29,0.9603277,,
30,0.9634268,,
31,0.96648926,,
32,0.97118855,,
33,0.9715812,,
34,0.97299695,,
35,0.9690924,,
36,0.968209,,
37,0.96598446,,
38,0.9639629,,
39,0.96087885,,
40,0.9644851,,
41,0.9626273,,
42,0.96637154,,
43,0.9589137,,
44,0.9575177,,
45,0.9592115,,
46,0.9596799,,
47,0.96292645,,
48,0.96790427,,
49,0.96604973,,
50,0.96736753,,
51,0.9663926,,
52,0.97179246,,
53,0.9717579,,
54,0.9729435,,
55,0.97550994,,
56,0.96782756,,
57,0.9666784,,
58,0.969278,,
59,0.97216505,,
60,0.97055316,,
61,0.96663225,,
62,0.9717188,,
63,0.9728975,,
64,0.97364146,,
65,0.9756988,,
66,0.97807163,,
67,0.98057956,,
68,0.9814954,,
69,0.9790091,,
70,0.9783193,,
71,0.9774861,,
72,0.97992027,,
73,0.9802895,,
74,0.9831392,,
75,0.9825796,,
76,0.97737265,,
77,0.9787619,,
78,0.9773546,,
79,0.97441804,,
80,0.97512513,,
81,0.9758535,,
82,0.9768472,,
83,0.9800254,,
84,0.9786325,,
85,0.9783772,,
86,0.97804755,,
87,0.9816604,,
88,0.9827375,,
89,0.9863323,,
90,0.9857363,,
91,0.9862242,,
92,0.98658514,,
93,0.98487246,,
94,0.9861331,,
95,0.98652095,,
96,0.9902744,,
97,0.98956907,,
98,0.98488283,,
99,0.9841939,,
100,0.9825684,,
101,0.981966,,
102,0.98069566,,
103,0.9805614,,
104,0.9787851,,
105,0.9784162,,
106,0.98187596,,
107,0.982003,,
108,0.9834432,,
109,0.9821745,,
110,0.9790157,,
111,0.9770739,,
112,0.97549266,,
113,0.9735351,,
114,0.9739311,,
115,0.97461987,,
116,0.9756684,,
117,0.9745162,,
118,0.97396004,,
119,0.97395617,,
120,0.97569025,,
121,0.9775282,,
122,0.9765756,,
123,0.97590536,,
124,0.97373325,,
125,0.97234106,,
126,0.972869,,
127,0.972175,,
128,0.9742807,,
129,0.9723462,,
130,0.9703042,,
131,0.97003484,,
132,0.97121114,,
133,0.97419167,,
134,0.9765862,,
135,0.9740559,,
136,0.97313684,,
137,0.97294915,,
138,0.9723129,,
139,0.9734279,,
140,0.9695165,,
141,0.9682812,,
142,0.968453,,
143,0.97000694,,
144,0.97109467,,
145,0.9725719,,
146,0.9710312,,
147,0.973902,,
148,0.9759671,,
149,0.9732939,,
150,0.9727024,,
151,0.97004867,,
152,0.9699428,,
153,0.9696314,,
154,0.9676854,,
155,0.9664095,,
156,0.96753335,,
157,0.9641526,,
158,0.96192443,,
159,0.96371686,,
160,0.96417016,,
161,0.96519965,,
162,0.9654813,,
163,0.962888,,
164,0.9618379,,
165,0.9602049,,
166,0.96339047,,
167,0.9651762,,
168,0.9679516,,
169,0.9685089,,
170,0.9694494,,
171,0.97062707,,
172,0.96855277,,
173,0.9689888,,
174,0.96768063,,
175,0.96710485,,
176,0.96573484,,
177,0.9641074,,
178,0.9627425,,
179,0.9629364,,
180,0.9655793,,
181,0.9628722,,
182,0.9644147,,
183,0.9622773,,
184,0.9632214,,
185,0.96455026,,
186,0.9647894,,
187,0.9650527,,
188,0.96827215,,
189,0.9670314,,
190,0.9685122,,
191,0.97110075,,
192,0.97385174,,
193,0.974469,,
194,0.97226655,,
195,0.973753,,
196,0.9738283,,
197,0.97250664,,
198,0.9718846,,
199,0.97112155,,
200,0.9712688,,
201,0.9688712,,
202,0.9710179,,
203,0.96958435,,
204,0.97285604,,
205,0.97437876,,
206,0.9750563,,
207,0.9765195,,
208,0.97647756,,
209,0.9758268,,
210,0.97403735,,
211,0.973504,,
212,0.9737131,,
213,0.9701986,,
214,0.9692755,,
215,0.96994185,,
216,0.9701999,,
217,0.96881884,,
218,0.9666896,,
219,0.9677627,,
220,0.96531177,,
221,0.9647552,,
222,0.9670456,,
223,0.965738,,
224,0.96339,,
225,0.9655013,,
226,0.96505433,,
227,0.9649233,,
228,0.9669298,,
229,0.96646994,,
230,0.96723723,,
231,0.9676376,,
232,0.9662893,,
233,0.9668135,,
234,0.9666394,,
235,0.9642319,,
236,0.9640199,,
237,0.9648955,,
238,0.96304756,,
239,0.9629303,,
240,0.9596602,,
241,0.961405,,
242,0.9619829,,
243,0.9637694,,
244,0.965327,,
245,0.9649101,,
246,0.9662644,,
247,0.96446764,,
248,0.96646255,,
249,0.96569943,,
250,0.96134603,,
251,0.9580594,,
252,0.9587242,,
253,0.9596558,,
