x_data_plot1,y_data_plot1,x_data_plot2,y_data_plot2
0,3.0307662,415,2.9112298
1,3.0419452,,
2,3.0357628,,
3,3.02715,,
4,3.0942795,,
5,3.0911489,,
6,3.1087852,,
7,3.1087947,,
8,3.1104372,,
9,3.098925,,
10,3.0996883,,
11,3.0961626,,
12,3.076733,,
13,3.077694,,
14,3.079117,,
15,3.0779219,,
16,3.0781324,,
17,3.0719008,,
18,3.0764256,,
19,3.0761995,,
20,3.0789344,,
21,3.08821,,
22,3.0923762,,
23,3.0952785,,
24,3.095765,,
25,3.096726,,
26,3.09804,,
27,3.1062202,,
28,3.1013038,,
29,3.1005852,,
30,3.0925627,,
31,3.108883,,
32,3.1100206,,
33,3.1076689,,
34,3.1067142,,
35,3.107547,,
36,3.1062002,,
37,3.1025596,,
38,3.105262,,
39,3.1109834,,
40,3.1069548,,
41,3.1108267,,
42,3.109466,,
43,3.1056998,,
44,3.1051676,,
45,3.1023161,,
46,3.1024525,,
47,3.1004803,,
48,3.0972104,,
49,3.1008914,,
50,3.1012866,,
51,3.0951912,,
52,3.0977712,,
53,3.0976872,,
54,3.0965688,,
55,3.0900593,,
56,3.0929742,,
57,3.1010203,,
58,3.1038494,,
59,3.1040483,,
60,3.1072214,,
61,3.112053,,
62,3.1096396,,
63,3.1122658,,
64,3.110839,,
65,3.1138904,,
66,3.1071315,,
67,3.1054037,,
68,3.1034386,,
69,3.1089857,,
70,3.1115968,,
71,3.1055596,,
72,3.1090279,,
73,3.1176658,,
74,3.1124654,,
75,3.112412,,
76,3.1070518,,
77,3.1021311,,
78,3.1113303,,
79,3.1099324,,
80,3.1090174,,
81,3.1031435,,
82,3.1039085,,
83,3.106858,,
84,3.1072469,,
85,3.1020277,,
86,3.100643,,
87,3.1033032,,
88,3.1096158,,
89,3.1010876,,
90,3.0967963,,
91,3.0943856,,
92,3.1001332,,
93,3.0998256,,
94,3.098826,,
95,3.0980678,,
96,3.0948334,,
97,3.097943,,
98,3.096605,,
99,3.0917046,,
100,3.0933468,,
101,3.0922644,,
102,3.0949419,,
103,3.09442,,
104,3.0907488,,
105,3.0945544,,
106,3.092971,,
107,3.0905685,,
108,3.0861275,,
109,3.0830784,,
110,3.0835,,
111,3.0851345,,
112,3.0830302,,
113,3.0836978,,
114,3.083231,,
115,3.0859535,,
116,3.0882866,,
117,3.0883777,,
118,3.0883112,,
119,3.0911455,,
120,3.088197,,
121,3.0916772,,
122,3.0900495,,
123,3.0920324,,
124,3.096324,,
125,3.0938199,,
126,3.0938132,,
127,3.096668,,
128,3.0939462,,
129,3.0926192,,
130,3.0890124,,
131,3.0887172,,
132,3.0837004,,
133,3.0839407,,
134,3.08603,,
135,3.0870159,,
136,3.085962,,
137,3.0865977,,
138,3.0850334,,
139,3.0826817,,
140,3.083499,,
141,3.085118,,
142,3.0848172,,
143,3.0798857,,
144,3.0766878,,
145,3.0740943,,
146,3.0744011,,
147,3.0773451,,
148,3.0760686,,
149,3.0747864,,
150,3.075601,,
151,3.0762277,,
152,3.0754745,,
153,3.0750804,,
154,3.0831518,,
155,3.0826719,,
156,3.0848067,,
157,3.0816128,,
158,3.0790715,,
159,3.079014,,
160,3.0799685,,
161,3.0762155,,
162,3.0798562,,
163,3.0784488,,
164,3.081072,,
165,3.0806224,,
166,3.0768366,,
167,3.0817583,,
168,3.0816298,,
169,3.0808096,,
170,3.0817263,,
171,3.086148,,
172,3.0868726,,
173,3.0893843,,
174,3.0909653,,
175,3.0908544,,
176,3.09054,,
177,3.0889049,,
178,3.0853932,,
179,3.0858555,,
180,3.0882215,,
181,3.090172,,
182,3.094027,,
183,3.091824,,
184,3.0861719,,
185,3.0864773,,
186,3.0858605,,
187,3.0846176,,
188,3.0919166,,
189,3.0908277,,
190,3.0924397,,
191,3.0902014,,
192,3.0913973,,
193,3.0906618,,
194,3.0853744,,
195,3.082585,,
196,3.080478,,
197,3.0808778,,
198,3.0859592,,
199,3.0928009,,
200,3.0894005,,
201,3.090066,,
202,3.0898066,,
203,3.0917659,,
204,3.091774,,
205,3.0949106,,
206,3.094157,,
207,3.0946577,,
208,3.0924215,,
209,3.0953276,,
210,3.09591,,
211,3.09606,,
212,3.0941825,,
213,3.0884023,,
214,3.0896657,,
215,3.0932229,,
216,3.089774,,
217,3.0940404,,
218,3.0924153,,
219,3.090596,,
220,3.0929382,,
221,3.0933516,,
222,3.0974371,,
223,3.0984719,,
224,3.1045246,,
225,3.101982,,
226,3.101798,,
227,3.095,,
228,3.09539,,
229,3.0950367,,
230,3.094483,,
231,3.095,,
232,3.0948334,,
233,3.0945437,,
234,3.0919461,,
235,3.0900142,,
236,3.0920448,,
237,3.0969338,,
238,3.0994623,,
239,3.0985975,,
240,3.1010242,,
241,3.1051514,,
242,3.111121,,
243,3.1090176,,
244,3.112372,,
245,3.1090007,,
246,3.1060796,,
247,3.1030061,,
248,3.105626,,
249,3.107226,,
250,3.1095273,,
251,3.1122265,,
252,3.1117928,,
253,3.1101665,,
254,3.1098397,,
255,3.1074243,,
256,3.1084373,,
257,3.1062183,,
258,3.1096425,,
259,3.1141965,,
260,3.1131682,,
261,3.113996,,
262,3.1123292,,
263,3.1115143,,
264,3.1082423,,
265,3.1055887,,
266,3.1079094,,
267,3.1049619,,
268,3.1069798,,
269,3.1062243,,
270,3.1094308,,
271,3.1152678,,
272,3.1185515,,
273,3.1171033,,
274,3.1147423,,
275,3.1137478,,
276,3.1128852,,
277,3.1086771,,
278,3.1056068,,
279,3.106031,,
280,3.1056416,,
281,3.1111407,,
282,3.110831,,
283,3.1079392,,
284,3.10768,,
285,3.109514,,
286,3.1094773,,
287,3.1077037,,
288,3.108902,,
289,3.1103153,,
290,3.1091554,,
291,3.1117532,,
292,3.1069534,,
293,3.1052234,,
294,3.1015177,,
295,3.1007638,,
296,3.1037145,,
297,3.1001503,,
298,3.0993264,,
299,3.0994458,,
300,3.1001935,,
301,3.1005745,,
302,3.098883,,
303,3.095683,,
304,3.0931766,,
305,3.0903065,,
306,3.0918741,,
307,3.0931706,,
308,3.0966022,,
309,3.0917926,,
310,3.0934865,,
311,3.0958877,,
312,3.0956688,,
313,3.096311,,
314,3.0971823,,
315,3.103832,,
316,3.102012,,
317,3.1008418,,
318,3.0991654,,
319,3.0994184,,
320,3.1004593,,
321,3.09991,,
322,3.0948968,,
323,3.0937428,,
324,3.0885587,,
325,3.0951703,,
326,3.093418,,
327,3.0948832,,
328,3.0931244,,
329,3.0949035,,
330,3.0993176,,
331,3.0966737,,
332,3.09589,,
333,3.0944045,,
334,3.0955899,,
335,3.0965056,,
336,3.0946603,,
337,3.0959496,,
338,3.0933833,,
339,3.0908444,,
340,3.0907469,,
341,3.0942893,,
342,3.0902092,,
343,3.0855854,,
344,3.0869677,,
345,3.0906434,,
346,3.0950956,,
347,3.0920653,,
348,3.0914545,,
349,3.0895228,,
350,3.0863206,,
351,3.0898778,,
352,3.089768,,
353,3.094303,,
354,3.0948477,,
355,3.0969422,,
356,3.0946186,,
357,3.0906994,,
358,3.0932117,,
359,3.0920506,,
360,3.0905383,,
361,3.0911634,,
362,3.0920303,,
363,3.0935884,,
364,3.0965817,,
365,3.0962589,,
366,3.0906434,,
367,3.090855,,
368,3.0900502,,
369,3.0920742,,
370,3.0881195,,
371,3.084367,,
372,3.082335,,
373,3.084933,,
374,3.0887003,,
375,3.0944836,,
376,3.091504,,
377,3.0959463,,
378,3.0959716,,
379,3.0955014,,
380,3.0931287,,
381,3.094445,,
382,3.0988586,,
383,3.103151,,
384,3.1026568,,
385,3.1005466,,
386,3.1001167,,
387,3.102114,,
388,3.103401,,
389,3.1043317,,
390,3.1048262,,
391,3.1119678,,
392,3.1143801,,
393,3.112407,,
394,3.1101525,,
395,3.1112256,,
396,3.1106625,,
397,3.110543,,
398,3.1072836,,
399,3.1067874,,
400,3.104262,,
401,3.0988836,,
402,3.0976574,,
403,3.099626,,
404,3.1052856,,
405,3.1043777,,
406,3.1061945,,
407,3.1032696,,
408,3.1062667,,
409,3.1046395,,
410,3.107026,,
411,3.1058335,,
412,3.106531,,
413,3.1107423,,
414,3.1101046,,
