x_data_plot1,y_data_plot1,x_data_plot2,y_data_plot2
0,0.028276276,430,0.025199257
1,0.032449853,860,0.027203409
2,0.03238923,1290,0.02209756
3,0.0268212,1720,0.01998359
4,0.029920397,2150,0.037119847
5,0.029562453,2580,0.02117932
6,0.032299962,3010,0.02721278
7,0.030077944,3440,0.05068705
8,0.02996448,3870,0.0399799
9,0.028709028,4300,0.061606135
10,0.030266572,4730,0.017907374
11,0.030175341,5160,0.030872304
12,0.031439748,5590,0.017980643
13,0.030290525,6020,0.01618493
14,0.03526303,6450,0.015608454
15,0.036224615,6880,0.014385494
16,0.036038596,7310,0.021106388
17,0.035554234,7740,0.017074198
18,0.03476137,8170,0.017726073
19,0.03431424,8600,0.014471628
20,0.033576604,9030,0.01511352
21,0.033870175,9460,0.01604937
22,0.033364024,9890,0.018132191
23,0.03285871,10320,0.016374847
24,0.033150125,10750,0.017795356
25,0.032340687,11180,0.024847899
26,0.034831878,11610,0.016188545
27,0.033956967,12040,0.015542998
28,0.033659812,12470,0.018853346
29,0.03355919,12900,0.028196132
30,0.033424642,13330,0.014962434
31,0.03302793,13760,0.013914615
32,0.033728357,14190,0.014632377
33,0.034483653,14620,0.020151505
34,0.033768564,15050,0.0132331345
35,0.03335159,15480,0.018704154
36,0.03416745,15910,0.01408251
37,0.035066072,16340,0.017452233
38,0.034792904,16770,0.026089696
39,0.035046,17200,0.012146526
40,0.034708187,17630,0.041298646
41,0.034299474,18060,0.010370054
42,0.03395253,18490,0.018894518
43,0.03418622,18920,0.014614085
44,0.034321804,19350,0.014172345
45,0.033803895,19780,0.02852988
46,0.0335202,20210,0.013217319
47,0.033131026,20640,0.015967282
48,0.0328116,21070,0.020440722
49,0.03298103,21500,0.013939269
50,0.033821795,21930,0.008905548
51,0.033586837,22360,0.012343037
52,0.033034217,22790,0.022261323
53,0.033720326,23220,0.014631066
54,0.03389709,23650,0.04080895
55,0.033740513,24080,0.028304331
56,0.033809885,24510,0.020616082
57,0.033491004,24940,0.014310578
58,0.03356748,25370,0.01327544
59,0.03322156,25800,0.049639788
60,0.03336005,26230,0.017017627
61,0.033377334,26660,0.010058844
62,0.032949794,27090,0.02026191
63,0.03445898,27520,0.014200015
64,0.03403256,27950,0.028654804
65,0.033773646,28380,0.011689481
66,0.0347388,28810,0.013572936
